episodes,rewards,reward_std,lengths,overall_win_rate,random_wr,weak_wr,strong_wr,self_wr,q_losses,actor_losses
11250.0,6.864,14.256,125.32,0.64,0.594,0.467,0.0,0.305,0.31806058485615213,0.29212104215322704
11300.0,4.117,15.939,117.02,0.66,0.594,0.468,0.0,0.306,0.31767410626057824,0.28402866052475956
11350.0,6.479,12.672,120.4,0.58,0.594,0.468,0.0,0.307,0.3156214769169121,0.2787083257247523
11400.0,5.746,14.47,124.78,0.7,0.594,0.471,0.0,0.307,0.3215476264787493,0.2854817593754388
11450.0,2.914,16.279,133.36,0.6,0.593,0.472,0.0,0.308,0.3214167360592541,0.29067217296715353
11500.0,6.0,15.045,108.48,0.72,0.593,0.475,0.0,0.309,0.32063688892319203,0.3051716154742987
11550.0,5.814,14.216,101.26,0.72,0.593,0.476,0.0,0.313,0.3162563049397629,0.30154990453358604
11600.0,6.2,15.097,112.98,0.7,0.593,0.479,0.0,0.312,0.316127133408351,0.29098954538048044
11650.0,10.241,11.953,91.58,0.86,0.594,0.481,0.0,0.316,0.3220145724650523,0.288211282786801
11700.0,6.913,11.919,107.78,0.72,0.594,0.483,0.0,0.317,0.3181310486108224,0.28242641581458544
11750.0,7.378,12.351,106.94,0.76,0.595,0.484,0.0,0.316,0.3184480323857877,0.28022574946828027
11800.0,5.331,15.086,118.76,0.72,0.595,0.486,0.0,0.318,0.3161054505688584,0.27564667431873774
11850.0,8.298,14.048,126.1,0.68,0.595,0.488,0.0,0.319,0.3138705689639331,0.27522636612876666
11900.0,8.211,12.089,97.64,0.8,0.596,0.49,0.0,0.322,0.3136198331149879,0.27593771809347023
11950.0,5.246,15.064,122.98,0.68,0.596,0.492,0.0,0.323,0.3132162055914115,0.2682087192673397
12000.0,8.643,13.041,111.78,0.66,0.596,0.493,0.0,0.323,0.312165789446785,0.28030900722331464
12050.0,7.226,14.098,120.94,0.62,0.597,0.493,0.0,0.324,0.3158343366085639,0.26654755231080923
12100.0,3.797,14.674,102.6,0.68,0.596,0.494,0.0,0.326,0.3141665596980162,0.27271630076768266
12150.0,6.874,13.112,110.24,0.68,0.596,0.496,0.0,0.326,0.31466072183729304,0.2759931717207406
12200.0,6.296,14.221,118.04,0.6,0.596,0.497,0.0,0.327,0.31086612534751756,0.2752157144000055
12250.0,8.109,12.987,96.76,0.72,0.597,0.498,0.0,0.329,0.3069009734033488,0.2784361036581677
12300.0,6.12,14.948,101.76,0.7,0.597,0.499,0.0,0.331,0.310247683272436,0.2709222280365579
12350.0,3.921,14.013,102.8,0.72,0.597,0.5,0.0,0.332,0.3100730527207588,0.2695826238555029
12400.0,2.817,14.862,115.3,0.66,0.597,0.501,0.0,0.335,0.31321372591209845,0.2618836635942259
